"","approx_year_built","cats_allowed","coop_condo","dining_room_type","dogs_allowed","fuel_type","garage_exists","kitchen_type","maintenance_cost","num_bedrooms","num_full_bathrooms","num_half_bathrooms","num_total_rooms","sale_price","sq_footage","walk_score","Zipcode","total_charges"
"431",2016,"No","condo","combo","No","gas","no","Eat_In",0,1,1,0,3,250000,541,"Very Walkable","North Queens",183
"432",2006,"No","condo","combo","No","gas","no","Eat_In",0,2,2,0,4,438000,NA,"Walker's Paradise","West Queens",270.666666666667
"433",1940,"Yes","co-op","other","Yes","other","no","Combo",NA,2,1,0,4,572500,980,"Walker's Paradise","West Queens",0
"434",1963,"No","condo","combo","No","gas","no","Combo",0,0,1,0,2,288888,NA,"Very Walkable","Central Queens",503.083333333333
"435",1987,"No","condo","combo","No","other","yes","Efficient",0,2,1,1,5,380000,906,"Walker's Paradise","West Central Queens",1097
"436",1989,"Yes","condo","formal","Yes","gas","no","Eat_In",0,3,2,0,6,6e+05,NA,"Car-Dependent","North Queens",NA
"437",1950,"No","co-op","combo","No","gas","no","Eat_In",676,1,1,0,3,159000,NA,"Somewhat Walkable","Southeast Queens",0
"438",1960,"No","co-op","formal","No","gas","no","Efficient",713,2,1,0,5,132000,NA,"Very Walkable","Southwest Queens",0
"439",1960,"Yes","co-op","combo","No","oil","no","Eat_In",901,1,1,0,3,203000,800,"Very Walkable","Northeast Queens",0
"440",1950,"No","co-op","formal","No","gas","yes","Eat_In",678,1,1,0,3,290000,NA,"Very Walkable","West Central Queens",0
"441",2005,"No","condo","combo","No","gas","no","Efficient",0,2,2,0,4,512000,943,"Very Walkable","West Central Queens",531
"442",1953,"No","co-op","combo","No","oil","no","Efficient",748,1,1,0,4,79000,650,"Very Walkable","West Queens",0
"443",1947,"Yes","co-op","formal","Yes","gas","no","Efficient",NA,2,1,0,5,223000,NA,"Very Walkable","Southwest Queens",0
"444",1956,"No","co-op","combo","No","gas","yes","Eat_In",595,1,1,0,3,205000,NA,"Walker's Paradise","West Central Queens",0
"445",1960,"No","co-op","combo","No","oil","no","Eat_In",679,0,1,0,3,175000,500,"Walker's Paradise","West Central Queens",0
"446",1962,"No","co-op",NA,"No","gas","no","Eat_In",949,1,1,0,4,3e+05,750,"Somewhat Walkable","Northeast Queens",0
"447",1984,"No","condo","combo","No","other","yes","Efficient",0,1,1,0,4,510000,NA,"Very Walkable","North Queens",737.416666666667
"448",1950,"No","co-op",NA,"No","oil","no","Eat_In",713,1,1,0,3,219000,NA,"Walker's Paradise","West Central Queens",0
"449",1942,"Yes","condo","combo","Yes","gas","no","Efficient",0,2,1,0,4,530000,922,"Walker's Paradise","West Queens",667.166666666667
"450",1958,"No","co-op","formal","No","gas","no","Efficient",733,2,1,0,5,308000,NA,"Very Walkable","North Queens",0
"451",1950,"No","co-op","combo","No","oil","no","Eat_In",646,2,1,0,4,230000,NA,"Very Walkable","Northeast Queens",0
"452",1961,"Yes","co-op","combo","No","gas","no","Efficient",666,1,1,0,4,148000,NA,"Very Walkable","Northeast Queens",0
"453",1965,"Yes","co-op",NA,"Yes","gas","yes","Combo",NA,2,2,0,4,625000,NA,"Walker's Paradise","West Central Queens",0
"454",1965,"Yes","co-op",NA,"Yes","gas","yes","Combo",NA,2,2,0,4,625000,NA,"Walker's Paradise","West Central Queens",0
"455",1955,"No","co-op","other","No","oil","yes","Eat_In",777,2,1,0,4,369000,NA,"Walker's Paradise","West Central Queens",0
"456",1964,"No","co-op","combo","No","gas","no","Combo",885,1,1,0,3,275000,NA,"Walker's Paradise","West Central Queens",0
"457",1950,"No","co-op","formal","No","gas","no","Eat_In",783,2,1,0,4,324000,NA,"Walker's Paradise","West Queens",0
"458",1961,"No","co-op","combo","No","gas","yes","Efficient",880,1,1,0,4,103000,NA,"Walker's Paradise","Jamaica",0
"459",1974,"No","co-op","formal","No","oil","no","Efficient",NA,2,1,0,5,388000,950,"Walker's Paradise","Southwest Queens",0
"460",1938,"No","co-op","other","No",NA,"yes","Efficient",710,1,1,0,3,245000,NA,"Walker's Paradise","West Central Queens",0
"461",1948,"Yes","co-op","other","Yes",NA,"no","Combo",520,1,1,0,2,175000,NA,"Walker's Paradise","West Central Queens",0
"462",1948,"Yes","co-op",NA,"Yes",NA,"no","Combo",520,0,1,0,2,175000,NA,"Walker's Paradise","West Central Queens",0
"463",2011,"No","condo","combo","No","gas","no","Efficient",0,1,1,0,3,720000,NA,"Walker's Paradise","North Queens",572.5
"464",1960,"Yes","co-op","combo","Yes","gas","no","Eat_In",NA,2,1,0,5,265000,NA,"Very Walkable","Northeast Queens",0
"465",1955,"No","co-op",NA,"No","gas","no","Eat_In",801,3,1,0,5,215000,NA,"Very Walkable","Southeast Queens",0
"466",1961,"No","condo","combo","No","gas","no","Combo",0,1,1,0,5,420000,NA,"Walker's Paradise","North Queens",438.75
"467",1963,"No","co-op",NA,"No","gas","yes","Combo",NA,1,1,0,4,179000,NA,"Walker's Paradise","Southwest Queens",0
"468",2008,"Yes","condo","combo","Yes","gas","yes","Combo",0,2,2,0,4,740000,831,"Walker's Paradise","Northwest Queens",260.083333333333
"469",1938,"Yes","co-op",NA,"Yes","gas","no","Efficient",679,1,1,0,3,190000,NA,"Walker's Paradise","West Queens",0
"470",1962,"No","co-op","combo","No","gas","no","Eat_In",NA,0,1,0,3,180000,630,"Walker's Paradise","Northeast Queens",0
"471",1955,"Yes","co-op","formal","No","gas","no","Efficient",957,3,1,0,6,310000,NA,"Somewhat Walkable","Northeast Queens",0
"472",1964,"No","co-op","other","No","oil","no","Efficient",865,2,1,0,5,390000,NA,"Somewhat Walkable","Northeast Queens",0
"473",1954,"No","co-op","formal","No","gas","yes","Combo",678,1,1,0,6,135000,NA,"Very Walkable","Jamaica",0
"474",NA,"No","co-op","combo","No","gas","no","Eat_In",540,1,1,0,3,240000,NA,"Very Walkable","North Queens",0
"475",1950,"No","co-op","formal","No","gas","yes","Eat_In",NA,2,1,0,5,3e+05,NA,"Car-Dependent","Northeast Queens",0
"476",1982,"Yes","condo","formal","No","gas","no","Combo",650,1,1,1,4,617000,950,"Very Walkable","North Queens",NA
"477",1958,"No","co-op","formal","No",NA,"yes","Efficient",685,2,1,0,4,255000,950,"Walker's Paradise","West Queens",0
"478",NA,"Yes","co-op",NA,"Yes","gas","no","Eat_In",746,2,1,0,4,258000,NA,"Very Walkable","Northeast Queens",0
"479",1950,"Yes","co-op",NA,"No","oil","no","Eat_In",879,2,1,0,4,254000,NA,"Very Walkable","North Queens",0
"480",1964,"Yes","co-op","combo","No","oil","no","Efficient",986,2,1,0,4,250000,NA,"Very Walkable","Northeast Queens",0
"481",1960,"Yes","co-op","formal","No",NA,"no","Eat_In",NA,2,1,0,5,315000,1200,"Very Walkable","North Queens",0
"482",1975,"No","co-op","formal","No","gas","yes","Eat_In",NA,3,3,1,6,999999,2489,"Somewhat Walkable","Southeast Queens",0
"483",1986,"No","condo","combo","No","gas","yes","Eat_In",0,3,2,1,7,576000,1633,"Somewhat Walkable","North Queens",840
"484",1982,"No","condo","formal","No","gas","no","Eat_In",0,2,2,0,5,725000,NA,"Somewhat Walkable","North Queens",1061.33333333333
"485",1960,"No","co-op",NA,"No","gas","no","Eat_In",NA,2,2,0,5,305000,1200,"Somewhat Walkable","North Queens",0
"486",1989,"Yes","condo",NA,"Yes","electric","yes","Efficient",0,2,2,0,6,650000,886,"Very Walkable","Northwest Queens",749
"487",1950,"Yes","co-op",NA,"No","gas","no","Eat_In",673,1,1,0,3,157000,NA,"Very Walkable","Northeast Queens",0
"488",2016,"Yes","condo","combo","Yes","gas","no","Efficient",0,1,1,0,2,701888,765,"Walker's Paradise","North Queens",NA
"489",1942,"No","condo",NA,"No","gas","no","Eat_In",0,1,1,0,3,425000,679,"Very Walkable","West Queens",618.583333333333
"490",1977,"Yes","condo",NA,"Yes","gas","no","Efficient",0,0,1,0,2,129700,NA,"Very Walkable","Southwest Queens",292.333333333333
"491",2012,"No","condo",NA,"No","gas","no","Combo",0,2,2,0,5,650000,990,"Walker's Paradise","Northeast Queens",308.333333333333
"492",1950,"No","co-op","combo","No","gas","no","Efficient",713,1,1,0,4,195500,NA,"Very Walkable","Northeast Queens",0
"493",2016,"Yes","condo",NA,"Yes","gas","no","Combo",0,1,1,0,4,775000,NA,"Walker's Paradise","Northwest Queens",440.333333333333
"494",1958,"No","co-op","formal","No","gas","no","Eat_In",NA,3,2,0,6,7e+05,2200,"Car-Dependent","North Queens",0
"495",1950,"No","co-op","combo","No","gas","no","Efficient",448,1,1,0,3,130000,NA,"Very Walkable","Southwest Queens",0
"496",1952,"Yes","co-op","formal","No","gas","no","Eat_In",989,2,1,0,5,293800,NA,"Very Walkable","Northeast Queens",0
"497",1988,"Yes","condo","combo","Yes","gas","yes","Combo",0,1,1,0,3,485000,NA,"Walker's Paradise","West Central Queens",675.333333333333
"498",1989,"Yes","condo",NA,"Yes","electric","no","Efficient",0,0,1,0,2,385000,NA,"Very Walkable","Northwest Queens",413.833333333333
"499",1969,"No","co-op","combo","No","gas","yes","Efficient",736,1,1,0,3,245000,700,"Very Walkable","North Queens",0
"500",2007,"No","condo",NA,"No","other","no","Combo",0,1,1,0,3,480000,2338,"Walker's Paradise","Northwest Queens",220.083333333333
"501",1922,"Yes","co-op","formal","Yes","gas","no","Efficient",885,3,2,0,6,692000,1300,"Walker's Paradise","West Queens",0
"502",1922,"Yes","co-op","formal","Yes","gas","no","Efficient",885,3,2,0,6,692000,1300,"Walker's Paradise","West Queens",0
"503",2003,"No","condo","formal","No","gas","no","Efficient",0,2,2,0,5,465000,NA,"Very Walkable","Southwest Queens",504.75
"504",1955,"No","co-op",NA,"No","gas","no","Efficient",418,1,1,0,2,159500,NA,"Very Walkable","West Central Queens",0
"505",1960,"No","co-op","combo","No","oil","no","Efficient",639,1,1,0,4,164900,730,"Walker's Paradise","Central Queens",0
"506",1992,"Yes","condo","formal","Yes","gas","yes","Eat_In",0,1,1,0,4,375000,735,"Walker's Paradise","West Queens",578.333333333333
"507",1958,"No","co-op","combo","No",NA,"no","Efficient",NA,1,1,0,3,180000,NA,"Walker's Paradise","West Queens",0
"508",1950,"Yes","co-op",NA,"No","gas","no","Efficient",687,1,1,0,3,186000,NA,"Very Walkable","Northeast Queens",0
"509",1955,"No","co-op","combo","No","gas","no","Eat_In",775,1,1,0,3,169000,NA,"Walker's Paradise","North Queens",0
"510",1963,"No","condo","formal","No","oil","no","Efficient",0,1,1,0,3,280000,544,"Very Walkable","Central Queens",429.5
"511",1951,"No","co-op","formal","No","oil","no","Eat_In",796,2,1,0,5,350000,850,"Walker's Paradise","West Queens",0
"512",1960,"No","co-op",NA,"No","gas","no","Eat_In",NA,3,2,0,6,360000,1500,"Somewhat Walkable","North Queens",0
"513",1956,"No","co-op","combo","No","oil","no","Eat_In",627,1,1,0,3,230000,NA,"Walker's Paradise","Central Queens",0
"514",1955,"Yes","co-op","combo","Yes","gas","yes","Efficient",850,2,1,0,4,350000,900,"Walker's Paradise","West Central Queens",0
"515",1951,"Yes","co-op","combo","No","gas","no","Efficient",815,2,1,0,3,235000,NA,"Very Walkable","North Queens",0
"516",1920,"No","co-op",NA,"No","gas","no","Combo",800,2,1,0,4,275000,1000,"Very Walkable","Southwest Queens",0
"517",1953,"Yes","co-op","combo","No","oil","no","Efficient",776,1,1,0,3,193000,NA,"Very Walkable","Northeast Queens",0
"518",1953,"No","co-op","combo","No","oil","yes","Eat_In",599,1,1,0,3,92000,750,"Very Walkable","Jamaica",0
"519",1958,"No","co-op","other","No",NA,"yes","Efficient",755,1,1,0,4,131000,700,"Very Walkable","Jamaica",0
"520",1955,"Yes","co-op","formal","Yes","oil","yes","Efficient",NA,2,2,0,6,408000,1200,"Walker's Paradise","West Central Queens",0
"521",1970,"Yes","co-op",NA,"No","oil","yes","Efficient",NA,1,1,0,4,425000,NA,"Somewhat Walkable","North Queens",0
"522",1964,"Yes","co-op","combo","Yes","gas","yes","Efficient",NA,2,1,0,4,360000,NA,"Somewhat Walkable","West Central Queens",0
"523",1961,"Yes","co-op","combo","No","gas","no","Efficient",560,1,1,0,2,132500,NA,"Very Walkable","Northeast Queens",0
"524",1950,"No","co-op",NA,"No","gas","no","Eat_In",725,2,1,0,4,216000,NA,"Very Walkable","Jamaica",0
"525",1947,"No","co-op","formal","No","gas","no","Combo",680,1,1,0,5,232500,1000,"Walker's Paradise","West Central Queens",0
"526",2010,"No","condo","combo","No","gas","no","Eat_In",0,2,2,0,5,428000,820,"Walker's Paradise","West Queens",181.75
"527",2006,"No","condo","combo","No","electric","no","Combo",0,2,2,0,4,635000,NA,"Walker's Paradise","North Queens",NA
"528",1958,"No","co-op","other","No","other","no","Eat_In",659,2,1,1,4,310000,NA,"Walker's Paradise","West Queens",0
"529",1983,"No","condo","combo","No","gas","yes","Eat_In",0,2,2,0,6,NA,1250,"Very Walkable","North Queens",1237
"530",1930,"Yes","co-op",NA,"Yes","oil","no","Combo",862,1,1,0,2,NA,450,"Walker's Paradise","West Central Queens",0
"531",1912,"No","co-op",NA,"No","electric","no","Efficient",738,NA,1,0,2,NA,NA,"Walker's Paradise","West Central Queens",0
"532",1953,"Yes","co-op","combo","No","gas","no","Combo",NA,3,1,0,5,NA,NA,"Car-Dependent","North Queens",0
"533",1941,"No","condo","formal","No","gas","no","Efficient",0,4,1,0,7,NA,1524,"Walker's Paradise","West Central Queens",NA
"534",1957,"No","condo",NA,"No","oil","no","Combo",0,1,1,0,3,NA,NA,"Walker's Paradise","West Central Queens",456
"535",1953,"No","co-op","combo","No","gas","no","Combo",NA,3,1,0,5,NA,NA,"Somewhat Walkable","North Queens",0
"536",2004,"No","condo","other","No","gas","no","Eat_In",0,1,1,0,3,NA,550,"Walker's Paradise","West Queens",214.75
"537",1955,"No","co-op","combo","No","gas","no","Eat_In",804,1,1,0,3,NA,NA,"Walker's Paradise","West Central Queens",0
"538",1960,"No","co-op",NA,"Yes","gas","no","Combo",NA,3,3,0,6,NA,1650,"Walker's Paradise","West Central Queens",0
"539",1965,"Yes","co-op",NA,"Yes","gas","yes","Combo",NA,2,1,0,4,NA,NA,"Walker's Paradise","West Central Queens",0
"540",1960,"No","co-op","formal","No","gas","no","Eat_In",NA,2,1,0,6,NA,1300,"Walker's Paradise","West Central Queens",0
"541",1953,"Yes","co-op","combo","Yes","gas","no","Combo",976,1,1,0,3,NA,850,"Somewhat Walkable","North Queens",0
"542",1953,"Yes","co-op","formal","Yes","oil","yes","Eat_In",NA,3,2,0,6,NA,1350,"Walker's Paradise","West Central Queens",0
"543",1955,"Yes","co-op","formal","Yes","gas","no","Eat_In",NA,3,2,0,6,NA,1350,"Walker's Paradise","West Central Queens",0
"544",1953,"No","co-op","combo","No","oil","no","Eat_In",NA,2,1,0,5,NA,NA,"Walker's Paradise","West Central Queens",0
"545",1955,"Yes","co-op","formal","Yes","oil","no","Eat_In",NA,3,2,0,6,NA,NA,"Walker's Paradise","West Central Queens",0
"546",1950,"No","co-op","combo","No","oil","no","Efficient",683,1,1,0,0,NA,850,"Walker's Paradise","West Central Queens",0
"547",NA,"Yes","co-op","other","No","gas","no","Eat_In",909,1,1,0,3,NA,NA,"Somewhat Walkable","North Queens",0
"548",2006,"No","condo","other","No","gas","no","Eat_In",214,2,1,0,5,NA,NA,"Walker's Paradise","West Queens",NA
"549",2009,"Yes","condo","combo","Yes","gas","yes","Efficient",0,3,2,0,6,NA,847,"Walker's Paradise","West Queens",240.666666666667
"550",2009,"No","condo","combo","Yes","gas","no","Combo",0,1,1,1,4,NA,592,"Walker's Paradise","West Queens",222.583333333333
"551",2010,"No","condo","formal","No","gas","no","Efficient",0,2,2,0,6,NA,860,"Walker's Paradise","West Queens",195
"552",2000,"No","condo",NA,"No","gas","no","Eat_In",0,1,1,0,3,NA,620,"Walker's Paradise","West Queens",339
"553",1952,"Yes","co-op","combo","No","oil","no","Eat_In",494,1,1,0,1,NA,500,"Walker's Paradise","West Central Queens",0
"554",1950,"No","co-op","combo","No",NA,"no","Efficient",NA,4,2,0,8,NA,NA,"Walker's Paradise","West Central Queens",0
"555",1939,"No","co-op",NA,"No","oil","yes","Eat_In",909,1,1,0,3,NA,100,"Walker's Paradise","West Central Queens",0
"556",1996,"No","co-op","other","No","oil","no","Eat_In",606,1,1,0,3,NA,NA,"Very Walkable","West Queens",0
"557",1950,"No","co-op","other","No","oil","no","Efficient",700,1,1,0,3,NA,NA,"Very Walkable","West Queens",0
"558",2011,"No","condo","formal","No","gas","no","Eat_In",0,3,2,0,7,NA,NA,"Walker's Paradise","West Queens",120.833333333333
"559",1939,"Yes","co-op","none","Yes","oil","no","Eat_In",854,1,1,0,3,NA,850,"Walker's Paradise","West Central Queens",0
"560",1927,"No","condo","combo","No","gas","no","Eat_In",0,1,1,0,4,NA,NA,"Very Walkable","Southwest Queens",396.583333333333
"561",1958,"Yes","co-op","combo","No","oil","no","Efficient",962,1,1,0,3,NA,NA,"Somewhat Walkable","North Queens",0
"562",1965,"No","co-op","formal","No","oil","yes","Eat_In",NA,2,2,0,5,NA,1300,"Walker's Paradise","West Central Queens",0
"563",1965,"No","co-op",NA,"No","oil","yes","Eat_In",NA,2,2,0,5,NA,NA,"Walker's Paradise","West Central Queens",0
"564",1964,"No","co-op","formal","No","oil","yes","Eat_In",NA,1,1,0,4,NA,NA,"Walker's Paradise","West Central Queens",0
"565",1965,"No","co-op","formal","No","oil","yes","Efficient",NA,2,1,0,4,NA,NA,"Walker's Paradise","West Central Queens",0
"566",1965,"No","co-op","formal","No","gas","no","Eat_In",NA,2,2,0,5,NA,NA,"Walker's Paradise","West Central Queens",0
"567",1965,"No","co-op",NA,"No","oil","yes","Eat_In",NA,2,2,0,5,NA,NA,"Walker's Paradise","West Central Queens",0
"568",1965,"No","co-op","formal","No","gas","no","Combo",NA,2,2,0,5,NA,1300,"Walker's Paradise","West Central Queens",0
"569",1965,"No","co-op","formal","No","oil","yes","Eat_In",NA,2,1,0,4,NA,NA,"Walker's Paradise","West Central Queens",0
"570",1956,"No","co-op","formal","No","oil","no","Eat_In",625,1,1,0,3,NA,750,"Walker's Paradise","West Central Queens",0
"571",1959,"No","co-op","combo","No","oil","no","Combo",620,1,1,0,3,NA,NA,"Walker's Paradise","West Central Queens",0
"572",1955,"Yes","co-op","formal","Yes","oil","no","Combo",629,1,1,0,3,NA,NA,"Walker's Paradise","West Central Queens",0
"573",1932,"No","co-op","combo","No","gas","no","Eat_In",737,1,1,0,4,NA,NA,"Walker's Paradise","West Central Queens",0
"574",1942,"No","co-op","other","No","oil","no","Combo",700,1,1,0,3,NA,NA,"Walker's Paradise","West Central Queens",0
"575",1951,"Yes","condo","combo","Yes","gas","no","Combo",0,5,2,0,5,NA,980,"Very Walkable","West Central Queens",618.083333333333
"576",1952,"Yes","co-op","combo","Yes","oil","yes","Efficient",651,1,1,0,3,NA,750,"Walker's Paradise","West Central Queens",0
"577",1951,"No","co-op","combo","No","oil","yes","Eat_In",NA,3,2,0,6,NA,NA,"Walker's Paradise","West Central Queens",0
"578",1940,"No","co-op","combo","No","gas","no","Eat_In",570,NA,1,0,2,NA,NA,"Walker's Paradise","West Central Queens",0
"579",1951,"No","condo","formal","No","gas","no","Eat_In",0,3,2,1,9,NA,NA,"Walker's Paradise","West Central Queens",695
"580",1937,"No","co-op","combo","No","gas","no","Efficient",781,1,1,0,4,NA,850,"Walker's Paradise","West Central Queens",0
"581",1965,"No","co-op","combo","No","gas","no","Combo",656,1,1,0,3,NA,NA,"Walker's Paradise","West Central Queens",0
"582",2007,"No","co-op","formal","No","gas","no","Eat_In",NA,2,1,0,5,NA,1100,"Walker's Paradise","West Central Queens",0
"583",1949,"No","co-op","combo","No","gas","no","Efficient",NA,1,1,0,4,NA,NA,"Somewhat Walkable","West Central Queens",0
"584",1950,"No","co-op",NA,"No","gas","no","Efficient",NA,1,1,0,3,NA,NA,"Somewhat Walkable","West Central Queens",0
"585",1936,"No","co-op","formal","No","gas","no","Combo",795,2,1,0,4,NA,NA,"Walker's Paradise","West Central Queens",0
"586",1992,"Yes","condo","combo","Yes","gas","no","Eat_In",0,1,1,1,5,NA,904,"Walker's Paradise","West Central Queens",969.083333333333
"587",1992,"Yes","condo","formal","Yes","gas","yes","Efficient",0,1,1,1,4,NA,914,"Walker's Paradise","West Central Queens",1326.16666666667
"588",NA,"No","co-op",NA,"No",NA,"no",NA,NA,NA,1,0,4,NA,NA,"Walker's Paradise","West Central Queens",0
"589",2008,"No","condo","combo","No","gas","no","Combo",0,2,1,1,5,NA,1742,"Very Walkable","West Queens",382.416666666667
"590",2008,"No","condo","combo","No","gas","no","Eat_In",0,2,1,1,5,NA,751,"Very Walkable","West Queens",268
"591",1956,"No","co-op","combo","No",NA,"no","Eat_In",NA,3,2,0,5,NA,NA,"Walker's Paradise","West Central Queens",0
"592",1956,"Yes","co-op","other","Yes","oil","no","Eat_In",NA,2,1,0,5,NA,NA,"Walker's Paradise","West Central Queens",0
"593",1953,"Yes","co-op","combo","Yes","oil","no","Eat_In",800,1,1,0,3,NA,NA,"Walker's Paradise","West Central Queens",0
"594",1953,"No","co-op","combo","No","oil","no","Eat_In",NA,3,1,0,5,NA,NA,"Very Walkable","West Queens",0
"595",2006,"No","condo","combo","No","gas","no","Eat_In",0,1,1,0,3,NA,NA,"Very Walkable","West Queens",160.666666666667
"596",1950,"No","co-op",NA,"No","oil","no","Eat_In",748,1,1,0,3,NA,NA,"Walker's Paradise","West Central Queens",0
"597",1941,"No","co-op","formal","No","oil","no","Eat_In",NA,3,2,0,6,NA,NA,"Walker's Paradise","West Central Queens",0
"598",1940,"Yes","co-op","other","Yes","gas","yes","Combo",933,2,1,0,4,NA,NA,"Walker's Paradise","West Central Queens",0
"599",1941,"Yes","co-op","formal","Yes","oil","yes","Eat_In",NA,2,1,0,4,NA,NA,"Walker's Paradise","West Central Queens",0
"600",1941,"No","co-op","combo","No","oil","no","Efficient",NA,2,1,0,4,NA,928,"Walker's Paradise","West Central Queens",0
"601",1928,"Yes","co-op","other","No","oil","no","Eat_In",797,2,1,0,4,NA,1000,"Very Walkable","Southwest Queens",0
"602",1936,"No","co-op","formal","No","gas","no","Eat_In",NA,2,2,0,5,NA,1300,"Very Walkable","Southwest Queens",0
"603",1923,"No","co-op","formal","No","gas","no","Combo",NA,2,1,0,5,NA,NA,"Walker's Paradise","Southwest Queens",0
"604",1940,"Yes","co-op","other","Yes","gas","no","Efficient",829,2,1,0,4,NA,950,"Walker's Paradise","Southwest Queens",0
"605",1940,"Yes","co-op","other","Yes","gas","no","Eat_In",820,1,1,0,4,NA,NA,"Walker's Paradise","Southwest Queens",0
"606",1973,"No","co-op","combo","No","oil","yes","Efficient",NA,NA,1,0,2,NA,550,"Walker's Paradise","West Central Queens",0
"607",1965,"No","co-op",NA,"No","gas","yes",NA,NA,3,3,0,6,NA,1700,"Walker's Paradise","West Central Queens",0
"608",1965,"No","co-op","combo","No","gas","yes","Combo",973,1,1,0,3,NA,750,"Walker's Paradise","Southwest Queens",0
"609",1974,"No","co-op","combo","No",NA,"no","Efficient",NA,1,1,0,3,NA,800,"Walker's Paradise","Southwest Queens",0
"610",1974,"No","co-op","formal","No",NA,"yes","Eat_In",NA,2,2,0,5,NA,1050,"Walker's Paradise","Southwest Queens",0
"611",1950,"Yes","co-op","formal","Yes","gas","no","Eat_In",750,1,1,0,4,NA,800,"Walker's Paradise","Southwest Queens",0
"612",2002,"Yes","condo","combo","Yes","gas","yes","Efficient",0,2,2,0,4,NA,763,"Walker's Paradise","Southwest Queens",662.666666666667
"613",2002,"Yes","condo","combo","Yes","gas","no","Efficient",383,2,2,0,7,NA,763,"Walker's Paradise","Southwest Queens",NA
"614",1989,"No","condo","combo","No","gas","no","Combo",0,2,2,0,4,NA,1005,"Walker's Paradise","Southwest Queens",632.25
"615",1989,"No","condo","formal","No","gas","no","Combo",0,3,3,0,7,NA,NA,"Car-Dependent","North Queens",932.666666666667
"616",1983,"No","condo",NA,"No","gas","no",NA,180,1,1,0,3,NA,NA,"Very Walkable","North Queens",NA
"617",1985,"Yes","condo","combo","Yes","gas","no","Eat_In",755,2,2,1,5,NA,1800,"Somewhat Walkable","North Queens",578.333333333333
"618",1950,"No","co-op","combo","No","gas","no","Eat_In",880,1,1,0,3,NA,NA,"Walker's Paradise","Southwest Queens",0
"619",1937,"Yes","co-op","formal","Yes","electric","no","Eat_In",NA,3,2,0,6,NA,NA,"Walker's Paradise","Southwest Queens",0
"620",1938,"Yes","co-op","combo","Yes","gas","no","Eat_In",565,NA,1,0,1,NA,600,"Walker's Paradise","Southwest Queens",0
"621",1960,"No","co-op","combo","No","oil","yes","Efficient",891,1,1,0,3,NA,NA,"Walker's Paradise","Southwest Queens",0
"622",1960,"Yes","co-op","combo","Yes","gas","no","Efficient",427,NA,1,0,2,NA,NA,"Walker's Paradise","Southwest Queens",0
"623",2017,"Yes","condo","combo","Yes","gas","no","Efficient",0,1,1,0,2,NA,712,"Walker's Paradise","North Queens",NA
"624",1960,"No","co-op","other","No",NA,"no","Efficient",894,2,1,1,6,NA,NA,"Walker's Paradise","Southwest Queens",0
"625",1985,"Yes","condo",NA,"Yes","gas","yes","Eat_In",0,3,2,1,6,NA,2200,"Somewhat Walkable","North Queens",1299.41666666667
"626",2003,"No","condo","combo","No","gas","no","Eat_In",0,NA,2,0,4,NA,980,"Walker's Paradise","North Queens",NA
"627",1987,"No","condo","combo","No","gas","no","Combo",0,1,1,0,3,NA,621,"Walker's Paradise","North Queens",1053.75
"628",1987,"Yes","condo",NA,"Yes","gas","no","Eat_In",0,2,2,0,6,NA,NA,"Walker's Paradise","North Queens",933.083333333333
"629",2001,"No","condo","combo","No","gas","no","Combo",0,2,2,0,5,NA,1027,"Walker's Paradise","North Queens",847
"630",1950,"No","co-op","combo","No","gas","no","Efficient",NA,1,1,0,3,NA,800,"Walker's Paradise","North Queens",0
"631",2015,"No","condo","combo","No","gas","no","Combo",0,1,1,0,4,NA,NA,"Walker's Paradise","North Queens",134.416666666667
"632",1987,"No","condo","combo","No","gas","no","Combo",0,1,1,0,3,NA,650,"Walker's Paradise","North Queens",559
"633",1962,"No","co-op","formal","No","oil","no","Eat_In",480,1,1,0,4,NA,735,"Walker's Paradise","North Queens",0
"634",1962,"No","co-op","formal","No","oil","no","Eat_In",577,1,1,0,4,NA,750,"Walker's Paradise","North Queens",0
"635",1962,"No","co-op","formal","No","gas","no","Combo",415,1,1,0,4,NA,NA,"Walker's Paradise","North Queens",0
"636",2015,"No","condo","formal","No","gas","no","Eat_In",0,NA,1,0,2,NA,495,"Walker's Paradise","North Queens",236.75
"637",2015,"No","condo","formal","No","gas","no","Eat_In",0,1,1,0,2,NA,680,"Walker's Paradise","North Queens",337.333333333333
"638",2015,"No","condo","formal","No","gas","no","Eat_In",0,NA,1,0,2,NA,680,"Walker's Paradise","North Queens",337.333333333333
"639",2015,"No","condo","formal","No","gas","no","Eat_In",0,1,1,0,2,NA,680,"Walker's Paradise","North Queens",337.333333333333
"640",2015,"No","condo","formal","No","gas","no","Eat_In",0,NA,1,0,2,NA,680,"Walker's Paradise","North Queens",337.333333333333
"641",1950,"No","co-op","other","No","gas","no","Combo",552,1,1,0,3,NA,NA,"Walker's Paradise","North Queens",0
"642",1986,"No","condo",NA,"No","gas","yes","Eat_In",0,2,2,0,6,NA,NA,"Walker's Paradise","North Queens",720.416666666667
"643",1986,"No","condo","combo","No","gas","no","Eat_In",0,2,2,0,5,NA,NA,"Walker's Paradise","North Queens",716.666666666667
"644",1928,"No","co-op","combo","No","gas","no","Combo",615,1,1,0,3,NA,600,"Walker's Paradise","North Queens",0
"645",1950,"Yes","co-op","formal","Yes",NA,"no","Efficient",988,2,1,0,4,NA,NA,"Somewhat Walkable","Central Queens",0
