"","approx_year_built","cats_allowed","coop_condo","dining_room_type","dogs_allowed","fuel_type","garage_exists","kitchen_type","maintenance_cost","num_bedrooms","num_full_bathrooms","num_half_bathrooms","num_total_rooms","sale_price","sq_footage","walk_score","Zipcode","total_charges"
"42",1952,"Yes","co-op","other","Yes","gas","no","Efficient",543,1,1,0,3,220000,NA,"Walker's Paradise","West Queens",0
"43",1930,"Yes","co-op","other","No","oil","no","Efficient",857,2,1,0,5,154000,NA,"Very Walkable","Southwest Queens",0
"44",1955,"No","co-op",NA,"No","oil","no","Efficient",664,1,1,0,3,155000,NA,"Very Walkable","Northeast Queens",0
"45",1955,"Yes","co-op","other","Yes","gas","no","Efficient",739,2,1,0,5,327000,984,"Walker's Paradise","West Central Queens",0
"46",1950,"No","co-op","combo","No","gas","no","Eat_In",576,1,1,0,4,106000,NA,"Very Walkable","Southeast Queens",0
"47",1961,"No","co-op","combo","No","oil","no","Efficient",813,2,2,0,6,260000,1200,"Very Walkable","West Queens",0
"48",1950,"Yes","co-op",NA,"Yes","oil","no","Combo",684,1,1,0,4,135000,590,"Somewhat Walkable","Southeast Queens",0
"49",1945,"No","co-op",NA,"No","oil","no","Efficient",720,2,1,0,4,124000,702,"Very Walkable","Southeast Queens",0
"50",1941,"No","co-op","formal","No","gas","no","Combo",910,2,1,0,4,340000,1000,"Walker's Paradise","West Central Queens",0
"51",1955,"No","co-op","combo","No","gas","no","Eat_In",814,2,1,0,4,233000,NA,"Very Walkable","North Queens",0
"52",1968,"No","co-op","formal","No","gas","no","Efficient",392,1,1,0,4,127500,NA,"Very Walkable","West Central Queens",0
"53",1985,"No","condo","combo","No","gas","no","Combo",0,1,1,0,3,440000,689,"Walker's Paradise","North Queens",441.333333333333
"54",1985,"No","condo",NA,"No","gas","no","Efficient",495,2,1,1,5,610000,NA,"Walker's Paradise","North Queens",NA
"55",1952,"No","co-op",NA,"No","oil","no","Efficient",724,1,1,0,3,131000,750,"Walker's Paradise","Jamaica",0
"56",1950,"No","co-op","combo","No","oil","no","Eat_In",846,3,1,0,5,275000,NA,"Very Walkable","Northeast Queens",0
"57",1965,"Yes","co-op","formal","No","oil","no","Efficient",733,1,1,0,3,96000,NA,"Very Walkable","Southwest Queens",0
"58",1950,"Yes","co-op","formal","No","gas","no","Efficient",601,3,1,0,6,270000,NA,"Very Walkable","Northeast Queens",0
"59",1961,"Yes","co-op","formal","No","gas","no","Eat_In",NA,3,2,0,5,390000,NA,"Very Walkable","Northeast Queens",0
"60",1949,"No","co-op","combo","No","oil","no","Eat_In",750,1,1,0,3,235000,NA,"Walker's Paradise","West Central Queens",0
"61",1960,"Yes","co-op","combo","Yes","gas","no","Efficient",NA,3,1,0,5,436000,NA,"Walker's Paradise","West Central Queens",0
"62",1969,"No","co-op","combo","No","gas","no","Combo",575,1,1,0,4,145000,NA,"Walker's Paradise","Southwest Queens",0
"63",1949,"No","condo","formal","No","gas","no","Eat_In",0,1,2,0,6,420000,NA,"Car-Dependent","Northeast Queens",893.333333333333
"64",1960,"No","co-op","combo","No","gas","no","Eat_In",660,1,1,0,3,130000,750,"Very Walkable","Jamaica",0
"65",1989,"No","condo","combo","No","gas","no","Efficient",0,2,2,1,8,420000,1000,"Walker's Paradise","Jamaica",421.666666666667
"66",1964,"No","co-op","formal","No","oil","no","Eat_In",860,1,1,0,3,275000,825,"Walker's Paradise","West Central Queens",0
"67",1950,"Yes","co-op",NA,"Yes","gas","no","Eat_In",722,1,1,0,3,237000,NA,"Walker's Paradise","Northwest Queens",0
"68",1970,"Yes","co-op",NA,"Yes","gas","no","Efficient",NA,3,2,1,7,4e+05,1800,"Very Walkable","North Queens",0
"69",1936,"Yes","co-op","other","Yes","gas","no","Eat_In",869,1,1,0,3,235000,1000,"Very Walkable","Southwest Queens",0
"70",2015,"Yes","condo",NA,"Yes","gas","no","Eat_In",0,0,1,0,3,596000,532,"Walker's Paradise","Northwest Queens",465.25
"71",1955,"Yes","co-op","combo","No","gas","no","Efficient",581,1,1,0,3,155000,NA,"Very Walkable","Southwest Queens",0
"72",1950,"Yes","co-op",NA,"No","oil","no","Efficient",656,1,1,0,4,145000,586,"Very Walkable","Northeast Queens",0
"73",1950,"No","co-op","combo","No","gas","no","Eat_In",573,1,1,0,4,113000,NA,"Very Walkable","Southeast Queens",0
"74",1955,"No","co-op","combo","No","gas","no","Combo",641,2,1,0,4,162000,NA,"Somewhat Walkable","Southeast Queens",0
"75",1964,"Yes","co-op","formal","Yes","gas","no","Efficient",732,2,1,0,5,145000,NA,"Very Walkable","Southwest Queens",0
"76",1961,"Yes","co-op","combo","No","gas","no","Efficient",642,1,1,0,3,160000,NA,"Very Walkable","Northeast Queens",0
"77",1936,"No","co-op",NA,"No","oil","no","Eat_In",452,0,1,0,2,175000,NA,"Very Walkable","West Queens",0
"78",1951,"Yes","co-op","combo","Yes","oil","no","Efficient",638,1,1,0,3,180000,NA,"Very Walkable","Central Queens",0
"79",1950,"Yes","co-op","formal","Yes","oil","no","Efficient",746,1,1,0,3,164000,NA,"Somewhat Walkable","Central Queens",0
"80",1958,"No","co-op",NA,"No","gas","no","Eat_In",760,1,1,0,3,110000,NA,"Very Walkable","Jamaica",0
"81",2007,"No","condo","combo","No","gas","yes","Eat_In",0,2,2,0,4,476000,863,"Walker's Paradise","West Central Queens",391.25
"82",1965,"Yes","co-op","other","No","gas","no","Efficient",745,1,1,0,3,1e+05,NA,"Very Walkable","Southwest Queens",0
"83",1950,"Yes","co-op","formal","No","oil","no","Efficient",913,2,2,0,4,217500,NA,"Very Walkable","North Queens",0
"84",1991,"No","condo","combo","No","gas","no","Efficient",0,1,1,0,3,235000,NA,"Walker's Paradise","West Queens",445.5
"85",1970,"No","co-op","combo","No","gas","no","Efficient",NA,2,2,0,5,492500,NA,"Very Walkable","North Queens",0
"86",2009,"No","condo","combo","No","gas","no","Eat_In",0,2,2,0,6,550000,1029,"Walker's Paradise","North Queens",324.75
"87",1950,"No","co-op","formal","No","oil","no","Eat_In",720,2,1,0,4,120000,NA,"Very Walkable","Jamaica",0
"88",1969,"No","co-op","other","No","gas","no","Eat_In",NA,1,1,0,3,210000,750,"Walker's Paradise","North Queens",0
